game_number,winner_01,home,away,hscore,ascore
44,1,Alabama,Notre Dame/Rutgers,64,78
56,0,Arizona,Bryant/Wright State,87,70
43,0,Arkansas,Vermont,75,71
55,0,Auburn,Jacksonville State,80,61
32,0,Baylor,Norfolk State,85,49
16,1,Baylor,North Carolina,86,93
41,1,Boise State,Memphis,53,64
60,1,Colorado State,Michigan,63,75
42,1,Connecticut,New Mexico State,63,70
47,0,Duke,Cal State Fullerton,78,61
40,0,Gonzaga,Georgia State,93,72
20,0,Gonzaga,Memphis,82,78
58,0,Houston,Alabama-Birmingham,82,68
29,0,Houston,Illinois,68,53
59,0,Illinois,Chattanooga,54,53
26,0,Iowa State,Wisconsin,54,49
50,1,Iowa,Richmond,63,67
24,0,Kansas,Creighton,79,72
48,0,Kansas,Texas A&M-Corpus Christi/Texas Southern,83,56
39,1,Kentucky,Saint Peter's,79,85
52,1,Louisiana State,Iowa State,54,59
46,0,Michigan State,Davidson,74,73
23,1,Michigan State,Duke,76,85
30,0,Michigan,Tennessee,76,68
19,1,Murray State,Saint Peter's,60,70
38,0,Murray State,San Francisco,92,87
21,1,New Mexico State,Arkansas,48,53
33,0,North Carolina,Marquette,95,63
22,1,Notre Dame/Rutgers,Texas Tech,53,59
62,0,Ohio State,Loyola (IL),54,41
31,1,Ohio State,Villanova,61,71
51,0,Providence,South Dakota State,66,57
37,0,Purdue,Yale,78,56
25,1,Richmond,Providence,51,79
34,0,Saint Mary's (CA),Indiana/Wyoming,82,53
17,1,Saint Mary's (CA),UCLA,56,72
49,1,San Diego State,Creighton,69,72
57,1,Seton Hall,Texas Christian,42,69
54,1,Southern California,Miami (FL),66,68
61,0,Tennessee,Longwood,88,56
45,0,Texas Tech,Montana State,97,62
36,0,Texas,Virginia Tech,81,73
35,0,UCLA,Akron,57,53
63,0,Villanova,Delaware,80,60
53,0,Wisconsin,Colgate,67,60
27,0,Miami (FL),Auburn,79,61
18,1,Texas,Purdue,71,81
28,0,Arizona,Texas Christian,85,80
10,1,Gonzaga,Arkansas,68,74
15,1,Michigan,Villanova,55,63
11,1,Texas Tech,Duke,73,78
14,1,Arizona,Houston,60,72
9,1,Purdue,Saint Peter's,64,67
12,0,Kansas,Providence,66,61
8,0,North Carolina,UCLA,73,66
13,1,Iowa State,Miami (FL),56,70
7,1,Houston,Villanova,44,50
5,1,Arkansas,Duke,69,78
6,0,Kansas,Miami (FL),76,50
4,0,North Carolina,Saint Peter's,69,49
