gender,region,seed,team
womens,Albany1,1,South Carolina
womens,Albany1,16,Sacred Heart or Presbyterian
womens,Albany1,8,North Carolina
womens,Albany1,9,Michigan St.
womens,Albany1,5,Oklahoma
womens,Albany1,12,Florida Gulf Coast
womens,Albany1,4,Indiana
womens,Albany1,13,Fairfield
womens,Albany1,6,Nebraska
womens,Albany1,11,Texas A&M
womens,Albany1,3,Oregon St.
womens,Albany1,14,Eastern Washington
womens,Albany1,7,Ole Miss
womens,Albany1,10,Marquette
womens,Albany1,2,Notre Dame
womens,Albany1,15,Kent St.
womens,Portland 4,1,Texas
womens,Portland 4,16,Drexel
womens,Portland 4,8,Alabama
womens,Portland 4,9,Florida St.
womens,Portland 4,5,Utah
womens,Portland 4,12,South Dakota St.
womens,Portland 4,4,Gonzaga
womens,Portland 4,13,UC Irvine
womens,Portland 4,6,Tennessee
womens,Portland 4,11,Green Bay
womens,Portland 4,3,North Carolina St.
womens,Portland 4,14,Chattanooga
womens,Portland 4,7,Iowa St.
womens,Portland 4,10,Maryland
womens,Portland 4,2,Stanford
womens,Portland 4,15,Norfolk St.
womens,Albany 2,1,Iowa
womens,Albany 2,16,Holy Cross or UT Martin
womens,Albany 2,8,West Virginia
womens,Albany 2,9,Princeton
womens,Albany 2,5,Colorado
womens,Albany 2,12,Drake
womens,Albany 2,4,Kansas St.
womens,Albany 2,13,Portland
womens,Albany 2,6,Louisville
womens,Albany 2,11,Middle Tennessee
womens,Albany 2,3,LSU
womens,Albany 2,14,Rice
womens,Albany 2,7,Creighton
womens,Albany 2,10,UNLV
womens,Albany 2,2,UCLA
womens,Albany 2,15,California Baptist
womens,Portland 3,1,Southern California
womens,Portland 3,16,Texas A&M-Corpus Christi
womens,Portland 3,8,Kansas
womens,Portland 3,9,Michigan
womens,Portland 3,5,Baylor
womens,Portland 3,12,Vanderbilt or Columbia
womens,Portland 3,4,Virginia Tech
womens,Portland 3,13,Marshall
womens,Portland 3,6,Syracuse
womens,Portland 3,11,Auburn or Arizona
womens,Portland 3,3,Connecticut
womens,Portland 3,14,Jackson St.
womens,Portland 3,7,Duke
womens,Portland 3,10,Richmond
womens,Portland 3,2,Ohio St.
womens,Portland 3,15,Maine
