tournament,team,region,seed
Men's,Duke,East (Washington D.C.),1
Men's,UConn,East (Washington D.C.),2
Men's,Michigan State,East (Washington D.C.),3
Men's,Kansas,East (Washington D.C.),4
Men's,St. John's,East (Washington D.C.),5
Men's,Louisville,East (Washington D.C.),6
Men's,UCLA,East (Washington D.C.),7
Men's,Ohio State,East (Washington D.C.),8
Men's,TCU,East (Washington D.C.),9
Men's,UCF,East (Washington D.C.),10
Men's,South Florida,East (Washington D.C.),11
Men's,Northern Iowa,East (Washington D.C.),12
Men's,Cal Baptist,East (Washington D.C.),13
Men's,North Dakota State,East (Washington D.C.),14
Men's,Furman,East (Washington D.C.),15
Men's,Siena,East (Washington D.C.),16
Men's,Florida,South (Houston),1
Men's,Houston,South (Houston),2
Men's,Illinois,South (Houston),3
Men's,Nebraska,South (Houston),4
Men's,Vanderbilt,South (Houston),5
Men's,North Carolina,South (Houston),6
Men's,Saint Mary's,South (Houston),7
Men's,Clemson,South (Houston),8
Men's,Iowa,South (Houston),9
Men's,Texas A&M,South (Houston),10
Men's,VCU,South (Houston),11
Men's,McNeese State,South (Houston),12
Men's,Troy,South (Houston),13
Men's,Pennsylvania,South (Houston),14
Men's,Idaho,South (Houston),15
Men's,Lehigh/Prairie View A&M,South (Houston),16
Men's,Arizona,West (San Jose),1
Men's,Purdue,West (San Jose),2
Men's,Gonzaga,West (San Jose),3
Men's,Arkansas,West (San Jose),4
Men's,Wisconsin,West (San Jose),5
Men's,BYU,West (San Jose),6
Men's,Miami (FL),West (San Jose),7
Men's,Villanova,West (San Jose),8
Men's,Utah State,West (San Jose),9
Men's,Missouri,West (San Jose),10
Men's,Texas/NC State,West (San Jose),11
Men's,High Point,West (San Jose),12
Men's,Hawaii,West (San Jose),13
Men's,Kennesaw State,West (San Jose),14
Men's,Queens (NC),West (San Jose),15
Men's,LIU,West (San Jose),16
Men's,Michigan,Midwest (Chicago),1
Men's,Iowa State,Midwest (Chicago),2
Men's,Virginia,Midwest (Chicago),3
Men's,Alabama,Midwest (Chicago),4
Men's,Texas Tech,Midwest (Chicago),5
Men's,Tennessee,Midwest (Chicago),6
Men's,Kentucky,Midwest (Chicago),7
Men's,Georgia,Midwest (Chicago),8
Men's,Saint Louis,Midwest (Chicago),9
Men's,Santa Clara,Midwest (Chicago),10
Men's,Miami (OH)/SMU,Midwest (Chicago),11
Men's,Akron,Midwest (Chicago),12
Men's,Hofstra,Midwest (Chicago),13
Men's,Wright State,Midwest (Chicago),14
Men's,Tennessee State,Midwest (Chicago),15
Men's,UMBC/Howard,Midwest (Chicago),16
