tournament,team,region,seed
Women's,UConn,Fort Worth 1,1
Women's,Vanderbilt,Fort Worth 1,2
Women's,Ohio State,Fort Worth 1,3
Women's,North Carolina,Fort Worth 1,4
Women's,Maryland,Fort Worth 1,5
Women's,Notre Dame,Fort Worth 1,6
Women's,Illinois,Fort Worth 1,7
Women's,Iowa State,Fort Worth 1,8
Women's,Syracuse,Fort Worth 1,9
Women's,Colorado,Fort Worth 1,10
Women's,Fairfield,Fort Worth 1,11
Women's,Murray State,Fort Worth 1,12
Women's,Western Illinois,Fort Worth 1,13
Women's,Howard,Fort Worth 1,14
Women's,High Point,Fort Worth 1,15
Women's,UTSA,Fort Worth 1,16
Women's,South Carolina,Sacramento 4,1
Women's,Iowa,Sacramento 4,2
Women's,TCU,Sacramento 4,3
Women's,Oklahoma,Sacramento 4,4
Women's,Michigan State,Sacramento 4,5
Women's,Washington,Sacramento 4,6
Women's,Georgia,Sacramento 4,7
Women's,Clemson,Sacramento 4,8
Women's,USC,Sacramento 4,9
Women's,Virginia/Arizona State,Sacramento 4,10
Women's,South Dakota State,Sacramento 4,11
Women's,Colorado State,Sacramento 4,12
Women's,Idaho,Sacramento 4,13
Women's,UC San Diego,Sacramento 4,14
Women's,Fairleigh Dickinson,Sacramento 4,15
Women's,Samford/Southern,Sacramento 4,16
Women's,UCLA,Sacramento 2,1
Women's,LSU,Sacramento 2,2
Women's,Duke,Sacramento 2,3
Women's,Minnesota,Sacramento 2,4
Women's,Ole Miss,Sacramento 2,5
Women's,Baylor,Sacramento 2,6
Women's,Texas Tech,Sacramento 2,7
Women's,Oklahoma State,Sacramento 2,8
Women's,Princeton,Sacramento 2,9
Women's,Villanova,Sacramento 2,10
Women's,Nebraska/Richmond,Sacramento 2,11
Women's,Gonzaga,Sacramento 2,12
Women's,Green Bay,Sacramento 2,13
Women's,Charleston,Sacramento 2,14
Women's,Jacksonville,Sacramento 2,15
Women's,Cal Baptist,Sacramento 2,16
Women's,Texas,Fort Worth 3,1
Women's,Michigan,Fort Worth 3,2
Women's,Louisville,Fort Worth 3,3
Women's,West Virginia,Fort Worth 3,4
Women's,Kentucky,Fort Worth 3,5
Women's,Alabama,Fort Worth 3,6
Women's,NC State,Fort Worth 3,7
Women's,Oregon,Fort Worth 3,8
Women's,Virginia Tech,Fort Worth 3,9
Women's,Tennessee,Fort Worth 3,10
Women's,Rhode Island,Fort Worth 3,11
Women's,James Madison,Fort Worth 3,12
Women's,Miami (OH),Fort Worth 3,13
Women's,Vermont,Fort Worth 3,14
Women's,Holy Cross,Fort Worth 3,15
Women's,Missouri State/SFA,Fort Worth 3,16
