seed,team,region
1,Virginia,South
16,Maryland-Baltimore County,South
8,Creighton,South
9,Kansas St,South
5,Kentucky,South
12,Davidson,South
4,Arizona,South
13,Buffalo,South
6,Miami-Florida,South
11,Loyola,South
3,Tennessee,South
14,Wright St,South
7,Nevada,South
10,Texas,South
2,Cincinnati,South
15,Georgia St,South
1,Xavier,West
16,Texas Southern,West
8,Missouri,West
9,Florida St,West
5,Ohio St,West
12,S Dakota St,West
4,Gonzaga,West
13,UNC-Greensboro,West
6,Houston,West
11,San Diego St,West
3,Michigan,West
14,Montana,West
7,Texas A&M,West
10,Providence,West
2,North Carolina,West
15,Lipscomb,West
1,Villanova,East
16,Radford,East
8,Virginia Tech,East
9,Alabama,East
5,W Virginia,East
12,Murray St,East
4,Wichita St,East
13,Marshall,East
6,Florida,East
11,St Bonaventure,East
3,Texas Tech,East
14,Stephen F Austin,East
7,Arkansas,East
10,Butler,East
2,Purdue,East
15,Cal St Fullerton,East
1,Kansas,Midwest
16,Pennsylvania,Midwest
8,Seton Hall,Midwest
9,North Carolina St,Midwest
5,Clemson,Midwest
12,New Mexico St,Midwest
4,Auburn,Midwest
13,Charleston,Midwest
6,TCU,Midwest
11,Syracuse,Midwest
3,Michigan St,Midwest
14,Bucknell,Midwest
7,Rhode Island,Midwest
10,Oklahoma,Midwest
2,Duke,Midwest
15,Iona,Midwest
