team,region,seed
South Carolina,Greensboro,1
Iowa,Greensboro,2
Iowa State,Greensboro,3
Arizona,Greensboro,4
North Carolina,Greensboro,5
Georgia,Greensboro,6
Colorado,Greensboro,7
Miami (FL),Greensboro,8
South Florida,Greensboro,9
Creighton,Greensboro,10
Dayton/DePaul,Greensboro,11
Stephen F. Austin,Greensboro,12
Nevada-Las Vegas,Greensboro,13
Texas-Arlington,Greensboro,14
Illinois State,Greensboro,15
Howard/Incarnate Word,Greensboro,16
Louisville,Wichita,1
Baylor,Wichita,2
Michigan,Wichita,3
Tennessee,Wichita,4
Oregon,Wichita,5
Brigham Young,Wichita,6
Mississippi,Wichita,7
Nebraska,Wichita,8
Gonzaga,Wichita,9
South Dakota,Wichita,10
Villanova,Wichita,11
Belmont,Wichita,12
Buffalo,Wichita,13
American,Wichita,14
Hawaii,Wichita,15
Albany (NY),Wichita,16
Stanford,Spokane,1
Texas,Spokane,2
Louisiana State,Spokane,3
Maryland,Spokane,4
Virginia Tech,Spokane,5
Ohio State,Spokane,6
Utah,Spokane,7
Kansas,Spokane,8
Georgia Tech,Spokane,9
Arkansas,Spokane,10
Florida State/Missouri State,Spokane,11
Florida Gulf Coast,Spokane,12
Delaware,Spokane,13
Jackson State,Spokane,14
Fairfield,Spokane,15
Montana State,Spokane,16
North Carolina State,Bridgeport,1
Connecticut,Bridgeport,2
Indiana,Bridgeport,3
Oklahoma,Bridgeport,4
Notre Dame,Bridgeport,5
Kentucky,Bridgeport,6
Central Florida,Bridgeport,7
Washington State,Bridgeport,8
Kansas State,Bridgeport,9
Florida,Bridgeport,10
Princeton,Bridgeport,11
Massachusetts,Bridgeport,12
IUPUI,Bridgeport,13
Charlotte,Bridgeport,14
Mercer,Bridgeport,15
Longwood/Mount St. Mary's,Bridgeport,16
